,d_f_pipeline,d_g_oil,i_g_airline,d_f_pipeline_imputed,d_g_oil_imputed,i_g_airline_imputed,d_f_pipeline_roll5d,d_g_oil_roll5d,i_g_airline_roll5d,d_f_pipeline_imputed_lagg,d_g_oil_imputed_lagg,i_g_airline_imputed_lagg,d_f_pipeline_roll5d_lagg,d_g_oil_roll5d_lagg,i_g_airline_roll5d_lagg
2020-08-08,-0.30000001192092896,-0.22000000402331352,-0.3000000094374021,-0.30000001192092896,-0.22000000402331352,-0.3000000094374021,-0.180000002682209,-0.22882769721389734,-0.2991666721180074,0.0,-0.2315789531720312,-0.3625000091269612,-0.20000000149011612,-0.2728276977205369,-0.2951666700219107
2020-08-09,,-0.32857143187097143,-0.3857142903975078,0.0,-0.32857143187097143,-0.3857142903975078,-0.08000000268220901,-0.2459705548250767,-0.3207539749730904,-0.30000001192092896,-0.22000000402331352,-0.3000000094374021,-0.180000002682209,-0.22882769721389734,-0.2991666721180074
2020-08-10,,-0.334375006146729,-0.2909090986306017,0.0,-0.334375006146729,-0.2909090986306017,-0.08000000268220901,-0.27909555564464056,-0.34338023844826765,0.0,-0.32857143187097143,-0.3857142903975078,-0.08000000268220901,-0.2459705548250767,-0.3207539749730904
2020-08-11,-0.3000000044703484,-0.1677419384641032,-0.43636364760723984,-0.3000000044703484,-0.1677419384641032,-0.43636364760723984,-0.12000000327825547,-0.2564534667354291,-0.3550974110399418,0.0,-0.334375006146729,-0.2909090986306017,-0.08000000268220901,-0.27909555564464056,-0.34338023844826765
2020-08-12,,-0.2466666693488757,-0.2538461536169052,0.0,-0.2466666693488757,-0.2538461536169052,-0.12000000327825547,-0.2594710099707981,-0.3333666399379306,-0.3000000044703484,-0.1677419384641032,-0.43636364760723984,-0.12000000327825547,-0.2564534667354291,-0.3550974110399418
2020-08-13,0.20000000298023224,-0.2750000034769376,-0.2300000049173832,0.20000000298023224,-0.2750000034769376,-0.2300000049173832,-0.020000000298023225,-0.2704710098615229,-0.3193666390339268,0.0,-0.2466666693488757,-0.2538461536169052,-0.12000000327825547,-0.2594710099707981,-0.3333666399379306
2020-08-14,,-0.2450000021606684,-0.3357142901846341,0.0,-0.2450000021606684,-0.3357142901846341,-0.020000000298023225,-0.2537567239194623,-0.3093666389913521,0.20000000298023224,-0.2750000034769376,-0.2300000049173832,-0.020000000298023225,-0.2704710098615229,-0.3193666390339268
2020-08-15,,-0.17333333641290666,-0.3250000011175871,0.0,-0.17333333641290666,-0.3250000011175871,-0.020000000298023225,-0.22154838997269782,-0.31618481948874916,0.0,-0.2450000021606684,-0.3357142901846341,-0.020000000298023225,-0.2537567239194623,-0.3093666389913521
2020-08-16,,-0.4592592627913864,-0.45000001788139343,0.0,-0.4592592627913864,-0.45000001788139343,0.040000000596046456,-0.27985185483815445,-0.3189120935435799,0.0,-0.17333333641290666,-0.3250000011175871,-0.020000000298023225,-0.22154838997269782,-0.31618481948874916
2020-08-17,,-0.1037037060768516,-0.2714285770697253,0.0,-0.1037037060768516,-0.2714285770697253,0.040000000596046456,-0.2512592621837496,-0.32242857823414395,0.0,-0.4592592627913864,-0.45000001788139343,0.040000000596046456,-0.27985185483815445,-0.3189120935435799
2020-08-18,0.3999999947845936,-0.15925926163240714,-0.19166667014360428,0.3999999947845936,-0.15925926163240714,-0.19166667014360428,0.07999999895691871,-0.2281111138148435,-0.31476191127938813,0.0,-0.1037037060768516,-0.2714285770697253,0.040000000596046456,-0.2512592621837496,-0.32242857823414395
2020-08-19,0.3000000007450581,-0.22812500456348064,-0.3500000052154064,0.3000000007450581,-0.22812500456348064,-0.3500000052154064,0.13999999910593033,-0.22473611429540594,-0.3176190542855426,0.3999999947845936,-0.15925926163240714,-0.19166667014360428,0.07999999895691871,-0.2281111138148435,-0.31476191127938813
2020-08-20,-0.13333333532015482,-0.3560000050067902,-0.21052631696588114,-0.13333333532015482,-0.3560000050067902,-0.21052631696588114,0.11333333204189937,-0.26126944801418267,-0.2947243174552014,0.3000000007450581,-0.22812500456348064,-0.3500000052154064,0.13999999910593033,-0.22473611429540594,-0.3176190542855426
2020-08-21,0.10000000149011612,-0.226666671037674,-0.3562500053085387,0.10000000149011612,-0.226666671037674,-0.3562500053085387,0.1333333323399226,-0.21475092966344017,-0.27597431494063046,-0.13333333532015482,-0.3560000050067902,-0.21052631696588114,0.11333333204189937,-0.26126944801418267,-0.2947243174552014
2020-08-22,,-0.2714285712156977,-0.2500000074505806,0.0,-0.2714285712156977,-0.2500000074505806,0.1333333323399226,-0.2482959026912094,-0.2716886010168015,0.10000000149011612,-0.226666671037674,-0.3562500053085387,0.1333333323399226,-0.21475092966344017,-0.27597431494063046
2020-08-23,-0.20000000298023224,-0.0571428548012461,-0.5333333263794581,-0.20000000298023224,-0.0571428548012461,-0.5333333263794581,0.01333333278695743,-0.22787262132497718,-0.34002193226397226,0.0,-0.2714285712156977,-0.2500000074505806,0.1333333323399226,-0.2482959026912094,-0.2716886010168015
