Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2019-04-12,80.92,0.1,0.0
2019-04-15,80.65,0.0,0.0
2019-04-16,81.2,0.0,0.0
2019-04-17,81.43,0.0,-0.7
2019-04-18,81.13,0.0,0.0
2019-04-22,82.9,0.0,0.2
2019-04-23,83.38,0.0,0.0
2019-04-24,81.76,0.1,0.0
2019-04-25,82.22,0.0,0.0
2019-04-26,80.49,0.0,0.0
2019-04-29,79.97,0.1,0.0
2019-04-30,80.28,0.0,0.0
2019-05-01,78.67,0.0,0.0
2019-05-02,77.29,0.3,0.15
2019-05-03,77.47,0.0,-0.6
2019-05-06,77.13,0.0,0.0
2019-05-07,76.72,0.0,0.0
2019-05-08,76.84,0.0,-0.3
2019-05-09,76.77,0.0,0.0
2019-05-10,76.56,0.0,0.0
2019-05-13,75.71,0.0,-0.5
2019-05-14,75.81,0.0,0.1
2019-05-15,76.37,0.0,0.0
2019-05-16,76.36,0.0,0.0
2019-05-17,75.91,0.0,0.0
2019-05-20,75.9,0.0,0.0
2019-05-21,76.25,0.0,0.0
2019-05-22,75.56,0.0,0.0
2019-05-23,73.79,0.0,0.0
2019-05-24,74.1,0.0,0.0
2019-05-28,72.61,0.0,0.0
2019-05-29,72.16,-0.8,-0.8
2019-05-30,71.97,0.0,-0.7
2019-05-31,70.77,0.0,0.0
2019-06-03,71.88,0.0,0.0
2019-06-04,73.59,0.0,0.0
2019-06-05,72.98,0.0,-0.4
2019-06-06,74.31,0.0,0.0
2019-06-07,74.58,0.0,0.0
2019-06-10,74.91,0.0,0.0
2019-06-11,74.84,0.0,0.0
2019-06-12,74.03,0.0,0.0
2019-06-13,74.68,0.0,0.03
2019-06-14,74.35,0.0,0.0
2019-06-17,75.09,0.0,0.0
2019-06-18,75.74,0.0,0.0
2019-06-19,75.32,0.0,-0.1
2019-06-20,76.61,0.5,0.0
2019-06-21,77.69,-0.1,0.0
2019-06-24,76.95,0.1,0.0
2019-06-25,76.27,0.0,0.0
2019-06-26,76.6,-0.2,0.0
2019-06-27,75.82,0.0,0.0
2019-06-28,76.63,0.0,0.0
2019-07-01,76.56,0.0,0.0
2019-07-02,75.72,0.0,0.0
2019-07-03,76.44,0.0,0.0
2019-07-05,76.13,0.0,0.0
2019-07-08,76.48,0.0,0.1
2019-07-09,76.43,-0.1,0.0
2019-07-10,77.51,0.0,0.0
2019-07-11,77.57,0.0,0.0
